Device Type,GPS Coordinates,Panic Button Activation,Incident Type,Response Time (minutes),Response Outcome,Date,Time,Day,Location Type,Age,Emergency Contact Status
Smartwatch,"(15.613887, 80.031909)",No,Assault,24,Unresolved,22-07-2024,00:45,Monday,Safe Zone,25,Notified with Confirmation
Mobile,"(15.543617, 80.140135)",No,Assault,21,Resolved,04-12-2024,09:13,Wednesday,Safe Zone,34,Notified with Confirmation
Panic Button Device,"(15.502947, 80.062129)",Yes,Assault,8,In Progress,07-10-2024,17:47,Monday,Safe Zone,16,Notified with Confirmation
Panic Button Device,"(15.678599, 80.028707)",No,Teasing,24,Unresolved,18-04-2024,15:56,Thursday,High-risk Zone,42,Notified
Panic Button Device,"(15.569396, 80.188068)",Yes,Assault,7,Resolved,15-12-2024,04:28,Sunday,Safe Zone,44,Notified
Panic Button Device,"(15.611806, 80.154503)",No,Teasing,11,Resolved,17-06-2024,13:42,Monday,High-risk Zone,19,Notified with Delay
Smartwatch,"(15.693055, 80.055508)",Yes,Assault,3,Resolved,26-10-2024,02:58,Saturday,Safe Zone,19,Notified
Panic Button Device,"(15.658853, 80.058735)",No,Teasing,5,Resolved,25-12-2024,13:07,Wednesday,Safe Zone,29,Notified
Smartwatch,"(15.592211, 80.119913)",No,Teasing,28,Resolved,12-01-2024,06:57,Friday,High-risk Zone,43,Notified with Confirmation
Smartwatch,"(15.570461, 80.05014)",Yes,Teasing,12,Unresolved,04-05-2024,06:15,Saturday,Safe Zone,28,Notified with Delay
Panic Button Device,"(15.683612, 80.047827)",No,Assault,26,Resolved,03-01-2024,18:30,Wednesday,Moderate-risk Zone,24,Notified with Confirmation
Panic Button Device,"(15.531081, 80.191136)",Yes,Assault,14,Resolved,06-11-2024,04:59,Wednesday,Moderate-risk Zone,45,Notified
Panic Button Device,"(15.570686, 80.06515)",No,Teasing,19,Resolved,24-11-2024,18:16,Sunday,Moderate-risk Zone,32,Notified with Confirmation
Smartwatch,"(15.536694, 80.061624)",No,Assault,7,In Progress,28-02-2024,23:19,Wednesday,High-risk Zone,31,Notified
Mobile,"(15.647587, 80.171009)",Yes,Assault,21,Unresolved,12-12-2024,04:50,Thursday,High-risk Zone,44,Notified with Delay
Panic Button Device,"(15.615507, 80.180351)",Yes,Assault,6,In Progress,11-09-2024,00:03,Wednesday,High-risk Zone,37,Notified with Confirmation
Smartwatch,"(15.627347, 80.151999)",Yes,Assault,5,Unresolved,22-06-2024,17:16,Saturday,Safe Zone,43,Notified
Panic Button Device,"(15.662911, 80.080567)",No,Teasing,7,In Progress,09-12-2024,08:11,Monday,High-risk Zone,26,Notified
Panic Button Device,"(15.643696, 80.084363)",Yes,Assault,16,In Progress,23-05-2024,05:12,Thursday,Safe Zone,44,Notified with Delay
Mobile,"(15.615874, 80.169574)",No,Assault,9,In Progress,12-07-2024,15:58,Friday,Moderate-risk Zone,18,Notified with Delay
Smartwatch,"(15.605087, 80.076563)",No,Teasing,5,Unresolved,20-05-2024,09:32,Monday,Moderate-risk Zone,30,Notified
Panic Button Device,"(15.65246, 80.048068)",No,Assault,9,Unresolved,04-08-2024,12:18,Sunday,High-risk Zone,20,Notified with Delay
Panic Button Device,"(15.545983, 80.049294)",Yes,Assault,6,Resolved,23-04-2024,20:06,Tuesday,Moderate-risk Zone,38,Notified with Delay
Smartwatch,"(15.653141, 80.100297)",Yes,Teasing,22,In Progress,01-06-2024,11:21,Saturday,Safe Zone,16,Notified with Confirmation
Smartwatch,"(15.532536, 80.175807)",No,Assault,16,Resolved,22-10-2024,17:49,Tuesday,High-risk Zone,37,Notified
Panic Button Device,"(15.580109, 80.019834)",Yes,Teasing,17,In Progress,16-03-2024,15:58,Saturday,High-risk Zone,24,Notified with Confirmation
Panic Button Device,"(15.658507, 80.156518)",No,Teasing,6,Unresolved,12-08-2024,10:45,Monday,Safe Zone,34,Notified with Confirmation
Panic Button Device,"(15.532724, 80.159133)",Yes,Assault,2,Unresolved,14-09-2024,15:28,Saturday,High-risk Zone,33,Notified with Delay
Smartwatch,"(15.682664, 80.000986)",No,Assault,26,Unresolved,15-12-2024,21:03,Sunday,High-risk Zone,28,Notified with Confirmation
Mobile,"(15.589398, 80.031156)",No,Assault,20,In Progress,01-08-2024,15:28,Thursday,High-risk Zone,23,Notified with Delay
Smartwatch,"(15.669874, 80.14483)",No,Assault,23,Resolved,02-02-2024,06:22,Friday,Safe Zone,37,Notified with Confirmation
Mobile,"(15.614548, 80.072305)",No,Teasing,7,Unresolved,20-12-2024,14:26,Friday,High-risk Zone,34,Notified with Delay
Panic Button Device,"(15.692271, 80.113892)",No,Assault,5,In Progress,21-05-2024,19:03,Tuesday,High-risk Zone,25,Notified with Confirmation
Smartwatch,"(15.529762, 80.062789)",Yes,Teasing,23,Resolved,05-05-2024,17:03,Sunday,Moderate-risk Zone,24,Notified
Smartwatch,"(15.537707, 80.033684)",No,Teasing,22,Unresolved,05-03-2024,13:24,Tuesday,Safe Zone,38,Notified with Delay
Panic Button Device,"(15.654886, 80.186884)",No,Teasing,23,Resolved,10-10-2024,06:10,Thursday,High-risk Zone,40,Notified with Delay
Mobile,"(15.661917, 80.148332)",No,Assault,2,In Progress,16-10-2024,23:39,Wednesday,High-risk Zone,15,Notified
Panic Button Device,"(15.529257, 80.002092)",No,Assault,12,Resolved,26-06-2024,20:57,Wednesday,High-risk Zone,33,Notified with Delay
Mobile,"(15.655745, 80.107767)",Yes,Assault,23,In Progress,20-09-2024,23:39,Friday,Moderate-risk Zone,31,Notified with Confirmation
Panic Button Device,"(15.56825, 80.074979)",No,Teasing,7,Resolved,27-08-2024,05:03,Tuesday,Moderate-risk Zone,30,Notified with Confirmation
Panic Button Device,"(15.548327, 80.177919)",No,Assault,6,In Progress,31-01-2024,09:33,Wednesday,Safe Zone,32,Notified with Confirmation
Panic Button Device,"(15.587405, 80.098688)",Yes,Assault,27,In Progress,28-04-2024,20:17,Sunday,Moderate-risk Zone,23,Notified
Mobile,"(15.672518, 80.017171)",No,Teasing,14,Unresolved,30-01-2024,16:10,Tuesday,Moderate-risk Zone,18,Notified with Confirmation
Smartwatch,"(15.640344, 80.043348)",Yes,Assault,23,Resolved,25-03-2024,10:18,Monday,High-risk Zone,37,Notified with Delay
Mobile,"(15.630687, 80.155039)",Yes,Teasing,26,Unresolved,16-09-2024,08:05,Monday,High-risk Zone,38,Notified with Confirmation
Smartwatch,"(15.509164, 80.126149)",No,Teasing,30,Unresolved,27-12-2024,11:21,Friday,High-risk Zone,41,Notified with Delay
Smartwatch,"(15.504169, 80.04623)",Yes,Teasing,23,Resolved,13-11-2024,19:58,Wednesday,High-risk Zone,15,Notified
Mobile,"(15.546901, 80.080244)",Yes,Assault,2,In Progress,17-03-2024,08:30,Sunday,High-risk Zone,28,Notified with Delay
Smartwatch,"(15.684088, 80.050542)",Yes,Teasing,24,Resolved,24-06-2024,13:10,Monday,Safe Zone,37,Notified
Mobile,"(15.584497, 80.027615)",Yes,Teasing,8,In Progress,08-03-2024,04:00,Friday,Moderate-risk Zone,27,Notified
Smartwatch,"(15.519611, 80.033311)",No,Assault,11,In Progress,29-09-2024,17:54,Sunday,Moderate-risk Zone,38,Notified with Delay
Panic Button Device,"(15.555584, 80.081147)",No,Teasing,8,Unresolved,14-10-2024,16:56,Monday,High-risk Zone,22,Notified with Delay
Panic Button Device,"(15.524695, 80.053863)",Yes,Assault,7,Resolved,10-07-2024,05:30,Wednesday,Moderate-risk Zone,36,Notified
Smartwatch,"(15.501497, 80.052813)",Yes,Teasing,5,Unresolved,07-04-2024,09:33,Sunday,Moderate-risk Zone,37,Notified with Confirmation
Mobile,"(15.501863, 80.020404)",No,Teasing,4,Resolved,19-12-2024,06:11,Thursday,Moderate-risk Zone,35,Notified with Delay
Panic Button Device,"(15.55495, 80.122955)",No,Assault,30,Resolved,06-01-2024,23:12,Saturday,High-risk Zone,32,Notified with Delay
Panic Button Device,"(15.535697, 80.057228)",No,Assault,26,In Progress,11-03-2024,11:53,Monday,Moderate-risk Zone,26,Notified
Smartwatch,"(15.516149, 80.184851)",No,Teasing,23,Resolved,27-01-2024,19:32,Saturday,High-risk Zone,27,Notified with Confirmation
Smartwatch,"(15.596173, 80.096011)",Yes,Teasing,19,In Progress,30-07-2024,10:36,Tuesday,Moderate-risk Zone,35,Notified with Confirmation
Mobile,"(15.691568, 80.122313)",Yes,Teasing,7,Resolved,28-08-2024,02:15,Wednesday,Moderate-risk Zone,24,Notified
Panic Button Device,"(15.51387, 80.18002)",Yes,Assault,19,In Progress,23-02-2024,08:58,Friday,Moderate-risk Zone,36,Notified with Delay
Smartwatch,"(15.612838, 80.009324)",No,Assault,6,Unresolved,31-10-2024,11:08,Thursday,High-risk Zone,40,Notified with Confirmation
Panic Button Device,"(15.583428, 80.129492)",Yes,Assault,26,Resolved,15-01-2024,19:50,Monday,Safe Zone,25,Notified with Delay
Mobile,"(15.511139, 80.029287)",Yes,Assault,11,Unresolved,17-10-2024,03:35,Thursday,High-risk Zone,31,Notified with Delay
Smartwatch,"(15.582942, 80.065247)",Yes,Teasing,12,Resolved,07-02-2024,02:04,Wednesday,Safe Zone,41,Notified with Delay
Mobile,"(15.651648, 80.08656)",Yes,Assault,22,Unresolved,15-04-2024,04:22,Monday,Safe Zone,33,Notified with Confirmation
Smartwatch,"(15.599497, 80.194433)",No,Assault,19,Resolved,15-03-2024,01:28,Friday,Safe Zone,27,Notified
Mobile,"(15.649436, 80.162967)",Yes,Teasing,8,In Progress,25-12-2024,08:06,Wednesday,Safe Zone,38,Notified with Delay
Smartwatch,"(15.599036, 80.021381)",Yes,Assault,18,Unresolved,16-06-2024,02:05,Sunday,Moderate-risk Zone,44,Notified
Panic Button Device,"(15.678803, 80.152969)",No,Teasing,23,Resolved,28-02-2024,01:44,Wednesday,Safe Zone,28,Notified
Mobile,"(15.541883, 80.106849)",Yes,Teasing,13,In Progress,05-08-2024,03:06,Monday,High-risk Zone,27,Notified with Delay
Smartwatch,"(15.527785, 80.133476)",No,Teasing,14,Unresolved,05-01-2024,18:04,Friday,Safe Zone,44,Notified with Confirmation
Smartwatch,"(15.528629, 80.197174)",Yes,Teasing,30,Resolved,30-11-2024,04:33,Saturday,Moderate-risk Zone,19,Notified
Panic Button Device,"(15.560383, 80.014058)",No,Assault,30,Resolved,24-11-2024,01:56,Sunday,Safe Zone,29,Notified
Smartwatch,"(15.592291, 80.181827)",No,Teasing,21,Resolved,28-09-2024,04:01,Saturday,Moderate-risk Zone,29,Notified with Confirmation
Mobile,"(15.584781, 80.02441)",No,Assault,8,Resolved,24-08-2024,00:51,Saturday,Safe Zone,43,Notified
Panic Button Device,"(15.509797, 80.19851)",Yes,Assault,12,Unresolved,05-07-2024,10:04,Friday,Moderate-risk Zone,19,Notified with Delay
Mobile,"(15.643975, 80.077043)",Yes,Assault,9,Resolved,07-01-2024,17:33,Sunday,Safe Zone,38,Notified with Delay
Smartwatch,"(15.565853, 80.094578)",No,Assault,23,Unresolved,08-05-2024,21:12,Wednesday,Moderate-risk Zone,26,Notified
Mobile,"(15.654372, 80.03833)",Yes,Teasing,29,In Progress,21-03-2024,16:00,Thursday,Moderate-risk Zone,24,Notified with Confirmation
Smartwatch,"(15.513938, 80.162602)",Yes,Teasing,24,Unresolved,23-12-2024,14:28,Monday,Moderate-risk Zone,45,Notified with Delay
Smartwatch,"(15.670791, 80.190711)",No,Assault,5,Resolved,29-02-2024,18:31,Thursday,Moderate-risk Zone,25,Notified
Smartwatch,"(15.616007, 80.199057)",No,Teasing,14,In Progress,06-05-2024,08:42,Monday,High-risk Zone,23,Notified with Delay
Smartwatch,"(15.610916, 80.088152)",Yes,Teasing,19,Resolved,27-09-2024,04:38,Friday,Safe Zone,17,Notified with Delay
Mobile,"(15.509984, 80.102823)",No,Assault,7,Unresolved,22-09-2024,17:17,Sunday,High-risk Zone,22,Notified with Delay
Mobile,"(15.657107, 80.169176)",Yes,Assault,10,Unresolved,11-01-2024,06:11,Thursday,Safe Zone,15,Notified with Confirmation
Smartwatch,"(15.654694, 80.176531)",No,Teasing,30,Resolved,16-10-2024,10:49,Wednesday,Moderate-risk Zone,35,Notified with Delay
Panic Button Device,"(15.673881, 80.153278)",Yes,Assault,19,In Progress,24-02-2024,21:24,Saturday,Moderate-risk Zone,26,Notified with Confirmation
Mobile,"(15.687213, 80.086234)",Yes,Assault,2,Unresolved,09-08-2024,04:03,Friday,High-risk Zone,29,Notified with Delay
Mobile,"(15.63629, 80.032891)",No,Teasing,7,In Progress,23-10-2024,17:14,Wednesday,Moderate-risk Zone,43,Notified with Confirmation
Smartwatch,"(15.536122, 80.096521)",No,Assault,28,Unresolved,05-07-2024,09:21,Friday,High-risk Zone,18,Notified with Confirmation
Smartwatch,"(15.6458, 80.124697)",No,Teasing,19,In Progress,12-12-2024,07:00,Thursday,Safe Zone,45,Notified with Delay
Smartwatch,"(15.50258, 80.155206)",No,Teasing,17,Resolved,03-02-2024,01:36,Saturday,Moderate-risk Zone,38,Notified with Confirmation
Panic Button Device,"(15.679889, 80.057352)",No,Assault,4,In Progress,28-05-2024,21:49,Tuesday,Safe Zone,42,Notified with Confirmation
Mobile,"(15.687583, 80.055827)",No,Assault,19,In Progress,19-11-2024,07:31,Tuesday,Safe Zone,27,Notified with Confirmation
Panic Button Device,"(15.556969, 80.015867)",Yes,Assault,14,Unresolved,14-05-2024,03:07,Tuesday,Moderate-risk Zone,42,Notified with Delay
Panic Button Device,"(15.636393, 80.002021)",No,Assault,12,Resolved,23-01-2024,17:15,Tuesday,Moderate-risk Zone,19,Notified
Smartwatch,"(15.551882, 80.046844)",No,Teasing,27,In Progress,15-08-2024,09:40,Thursday,Moderate-risk Zone,21,Notified with Confirmation
Mobile,"(15.668988, 80.012909)",Yes,Assault,7,Unresolved,04-11-2024,03:27,Monday,Safe Zone,29,Notified
Panic Button Device,"(15.53727, 80.129323)",No,Teasing,27,Unresolved,01-10-2024,14:54,Tuesday,Moderate-risk Zone,45,Notified
Mobile,"(15.511398, 80.157127)",Yes,Teasing,23,Unresolved,07-10-2024,01:31,Monday,Moderate-risk Zone,29,Notified with Delay
Panic Button Device,"(15.630975, 80.02023)",No,Teasing,2,Resolved,10-07-2024,18:07,Wednesday,Moderate-risk Zone,36,Notified with Delay
Panic Button Device,"(15.573484, 80.078213)",Yes,Assault,18,Resolved,06-07-2024,11:28,Saturday,Moderate-risk Zone,44,Notified
Smartwatch,"(15.604475, 80.136302)",Yes,Teasing,9,Resolved,20-12-2024,13:01,Friday,Safe Zone,21,Notified with Confirmation
Smartwatch,"(15.508561, 80.045117)",No,Teasing,18,Resolved,07-02-2024,13:47,Wednesday,Moderate-risk Zone,20,Notified with Confirmation
Panic Button Device,"(15.574849, 80.011783)",No,Assault,15,In Progress,17-10-2024,08:04,Thursday,Moderate-risk Zone,42,Notified with Delay
Smartwatch,"(15.660144, 80.139405)",Yes,Assault,15,In Progress,04-06-2024,20:31,Tuesday,Safe Zone,43,Notified with Confirmation
Smartwatch,"(15.537836, 80.007227)",No,Assault,26,Resolved,10-02-2024,05:11,Saturday,High-risk Zone,37,Notified with Delay
Mobile,"(15.696739, 80.158383)",Yes,Teasing,2,Unresolved,21-01-2024,00:49,Sunday,High-risk Zone,15,Notified with Confirmation
Panic Button Device,"(15.550307, 80.056338)",No,Teasing,14,Unresolved,17-09-2024,13:34,Tuesday,High-risk Zone,20,Notified with Confirmation
Smartwatch,"(15.68409, 80.086376)",No,Teasing,14,Resolved,26-05-2024,10:33,Sunday,Safe Zone,35,Notified
Smartwatch,"(15.599904, 80.160613)",Yes,Assault,10,In Progress,14-07-2024,10:44,Sunday,Moderate-risk Zone,37,Notified with Confirmation
Mobile,"(15.587344, 80.093714)",Yes,Assault,9,In Progress,16-11-2024,17:14,Saturday,Moderate-risk Zone,30,Notified with Confirmation
Mobile,"(15.539534, 80.053189)",No,Teasing,25,Resolved,20-01-2024,10:50,Saturday,High-risk Zone,37,Notified with Confirmation
Mobile,"(15.664891, 80.031278)",Yes,Teasing,16,Resolved,03-03-2024,08:23,Sunday,Safe Zone,31,Notified with Confirmation
Panic Button Device,"(15.620929, 80.148769)",No,Teasing,4,Resolved,11-12-2024,06:28,Wednesday,High-risk Zone,15,Notified with Confirmation
Panic Button Device,"(15.632161, 80.048959)",Yes,Teasing,4,Unresolved,29-04-2024,14:20,Monday,Moderate-risk Zone,19,Notified with Delay
Smartwatch,"(15.650829, 80.078909)",No,Teasing,22,Resolved,03-01-2024,16:02,Wednesday,Safe Zone,41,Notified with Confirmation
Mobile,"(15.667117, 80.114662)",Yes,Teasing,8,In Progress,11-06-2024,10:36,Tuesday,High-risk Zone,19,Notified with Delay
Panic Button Device,"(15.516736, 80.085223)",No,Teasing,20,In Progress,31-08-2024,00:11,Saturday,Moderate-risk Zone,24,Notified
Smartwatch,"(15.534977, 80.04392)",Yes,Teasing,9,Unresolved,08-03-2024,14:18,Friday,High-risk Zone,36,Notified
Mobile,"(15.65559, 80.010653)",No,Teasing,30,Resolved,23-05-2024,13:18,Thursday,Moderate-risk Zone,35,Notified with Delay
Smartwatch,"(15.655579, 80.063596)",No,Teasing,19,In Progress,18-09-2024,19:12,Wednesday,Safe Zone,35,Notified with Confirmation
Smartwatch,"(15.503494, 80.110001)",Yes,Teasing,14,In Progress,23-08-2024,07:24,Friday,High-risk Zone,33,Notified
Smartwatch,"(15.511391, 80.195189)",Yes,Teasing,24,Unresolved,18-12-2024,21:28,Wednesday,Safe Zone,22,Notified with Delay
Panic Button Device,"(15.621665, 80.060228)",No,Assault,25,In Progress,03-06-2024,20:42,Monday,Moderate-risk Zone,36,Notified with Confirmation
Smartwatch,"(15.544608, 80.090446)",Yes,Assault,4,In Progress,30-11-2024,09:43,Saturday,Moderate-risk Zone,40,Notified
Panic Button Device,"(15.562244, 80.130921)",Yes,Teasing,7,Unresolved,28-06-2024,22:22,Friday,Safe Zone,25,Notified
Smartwatch,"(15.503757, 80.184174)",Yes,Assault,23,Resolved,15-10-2024,20:39,Tuesday,Safe Zone,23,Notified with Delay
Mobile,"(15.616629, 80.074091)",Yes,Teasing,24,In Progress,23-09-2024,13:14,Monday,High-risk Zone,45,Notified with Confirmation
Panic Button Device,"(15.559059, 80.182871)",Yes,Teasing,24,Unresolved,10-11-2024,22:19,Sunday,Safe Zone,26,Notified with Confirmation
Smartwatch,"(15.662678, 80.085176)",No,Assault,5,In Progress,14-04-2024,17:48,Sunday,Safe Zone,18,Notified
Panic Button Device,"(15.532177, 80.109424)",No,Assault,13,Unresolved,20-02-2024,11:55,Tuesday,High-risk Zone,42,Notified with Confirmation
Mobile,"(15.69807, 80.005938)",No,Teasing,17,In Progress,20-01-2024,06:46,Saturday,High-risk Zone,19,Notified
Smartwatch,"(15.515869, 80.068505)",Yes,Teasing,6,Unresolved,20-07-2024,06:10,Saturday,Safe Zone,42,Notified with Confirmation
Mobile,"(15.660199, 80.093315)",Yes,Assault,10,Resolved,07-12-2024,16:34,Saturday,Moderate-risk Zone,26,Notified
Panic Button Device,"(15.544675, 80.079235)",Yes,Assault,15,Resolved,21-10-2024,11:06,Monday,Moderate-risk Zone,40,Notified with Delay
Panic Button Device,"(15.528757, 80.189131)",No,Assault,27,In Progress,25-03-2024,10:37,Monday,High-risk Zone,28,Notified with Delay
Smartwatch,"(15.653872, 80.098399)",No,Teasing,29,In Progress,10-10-2024,14:46,Thursday,High-risk Zone,28,Notified with Confirmation
Mobile,"(15.514824, 80.168366)",Yes,Teasing,28,In Progress,28-11-2024,13:52,Thursday,Safe Zone,20,Notified
Mobile,"(15.595124, 80.079478)",Yes,Teasing,8,In Progress,26-08-2024,18:18,Monday,Safe Zone,32,Notified with Confirmation
Panic Button Device,"(15.622513, 80.176155)",No,Assault,24,Unresolved,18-08-2024,05:45,Sunday,High-risk Zone,35,Notified with Confirmation
Smartwatch,"(15.694403, 80.169614)",No,Teasing,13,Resolved,17-09-2024,13:28,Tuesday,Moderate-risk Zone,22,Notified with Confirmation
Smartwatch,"(15.684386, 80.162983)",Yes,Teasing,7,In Progress,23-04-2024,14:54,Tuesday,High-risk Zone,20,Notified with Delay
Mobile,"(15.635249, 80.089781)",Yes,Teasing,29,In Progress,02-11-2024,06:22,Saturday,Moderate-risk Zone,38,Notified with Confirmation
Mobile,"(15.518117, 80.085704)",No,Assault,14,In Progress,10-09-2024,11:10,Tuesday,Safe Zone,36,Notified with Confirmation
Mobile,"(15.512818, 80.17175)",No,Teasing,7,Unresolved,15-04-2024,01:05,Monday,Moderate-risk Zone,29,Notified with Delay
Panic Button Device,"(15.695357, 80.005605)",No,Assault,11,Resolved,16-08-2024,01:21,Friday,Safe Zone,38,Notified with Delay
Mobile,"(15.540751, 80.168373)",Yes,Teasing,22,Resolved,29-08-2024,18:03,Thursday,Safe Zone,43,Notified
Smartwatch,"(15.576687, 80.05563)",Yes,Teasing,25,Unresolved,02-08-2024,21:08,Friday,High-risk Zone,28,Notified with Delay
Smartwatch,"(15.684688, 80.018141)",Yes,Teasing,29,Unresolved,17-09-2024,15:51,Tuesday,Moderate-risk Zone,35,Notified with Delay
Panic Button Device,"(15.606851, 80.01996)",No,Teasing,23,In Progress,20-02-2024,18:02,Tuesday,Safe Zone,30,Notified
Smartwatch,"(15.642089, 80.153565)",No,Assault,8,Resolved,23-05-2024,04:13,Thursday,High-risk Zone,22,Notified with Delay
Panic Button Device,"(15.582845, 80.016729)",Yes,Assault,23,Resolved,24-07-2024,11:15,Wednesday,Moderate-risk Zone,35,Notified with Confirmation
Panic Button Device,"(15.519631, 80.108407)",Yes,Assault,29,In Progress,10-01-2024,16:51,Wednesday,Moderate-risk Zone,34,Notified
Panic Button Device,"(15.618733, 80.12453)",No,Teasing,8,Resolved,21-11-2024,17:37,Thursday,High-risk Zone,25,Notified
Smartwatch,"(15.685876, 80.095931)",Yes,Teasing,19,In Progress,17-09-2024,11:12,Tuesday,Safe Zone,20,Notified with Delay
Smartwatch,"(15.593508, 80.189741)",No,Assault,18,In Progress,30-08-2024,23:17,Friday,Safe Zone,17,Notified with Confirmation
Mobile,"(15.573882, 80.050505)",Yes,Teasing,23,Unresolved,01-01-2024,23:10,Monday,Safe Zone,33,Notified with Delay
Panic Button Device,"(15.517101, 80.1694)",Yes,Teasing,9,In Progress,16-06-2024,13:39,Sunday,Safe Zone,24,Notified
Mobile,"(15.592006, 80.116427)",No,Teasing,25,In Progress,29-04-2024,09:54,Monday,Safe Zone,24,Notified
Panic Button Device,"(15.603484, 80.121399)",Yes,Teasing,6,Resolved,10-05-2024,01:53,Friday,Moderate-risk Zone,27,Notified
Smartwatch,"(15.618473, 80.14126)",Yes,Teasing,19,Resolved,17-08-2024,00:56,Saturday,Moderate-risk Zone,21,Notified with Delay
Smartwatch,"(15.682968, 80.157283)",No,Teasing,3,Unresolved,26-07-2024,16:14,Friday,Moderate-risk Zone,31,Notified with Delay
Panic Button Device,"(15.508496, 80.167686)",No,Teasing,18,In Progress,14-12-2024,05:20,Saturday,Moderate-risk Zone,24,Notified
Mobile,"(15.670274, 80.008388)",Yes,Teasing,20,Unresolved,15-01-2024,07:21,Monday,Safe Zone,38,Notified
Mobile,"(15.658144, 80.043713)",Yes,Assault,28,Resolved,23-01-2024,13:31,Tuesday,Safe Zone,36,Notified with Delay
Smartwatch,"(15.66598, 80.101321)",Yes,Teasing,8,In Progress,17-01-2024,18:48,Wednesday,High-risk Zone,18,Notified with Delay
Mobile,"(15.654869, 80.049282)",Yes,Teasing,27,Resolved,05-02-2024,13:59,Monday,Safe Zone,23,Notified with Delay
Mobile,"(15.666396, 80.04197)",Yes,Teasing,8,Unresolved,02-02-2024,22:28,Friday,High-risk Zone,23,Notified
Smartwatch,"(15.622105, 80.046331)",No,Teasing,11,Resolved,05-11-2024,18:51,Tuesday,High-risk Zone,26,Notified
Mobile,"(15.542829, 80.0262)",Yes,Assault,20,Resolved,01-02-2024,18:51,Thursday,Safe Zone,44,Notified with Confirmation
Mobile,"(15.532141, 80.151354)",Yes,Teasing,6,Resolved,31-08-2024,23:18,Saturday,Moderate-risk Zone,38,Notified
Smartwatch,"(15.551526, 80.142761)",Yes,Teasing,21,Unresolved,01-07-2024,22:04,Monday,Moderate-risk Zone,24,Notified with Delay
Panic Button Device,"(15.585028, 80.168356)",Yes,Teasing,23,Resolved,28-12-2024,17:18,Saturday,Moderate-risk Zone,20,Notified
Smartwatch,"(15.666537, 80.094811)",Yes,Assault,21,Unresolved,02-10-2024,12:05,Wednesday,Moderate-risk Zone,35,Notified
Smartwatch,"(15.698775, 80.083813)",No,Assault,12,In Progress,11-10-2024,15:32,Friday,Moderate-risk Zone,45,Notified with Delay
Panic Button Device,"(15.542868, 80.00276)",Yes,Teasing,11,Unresolved,26-07-2024,18:49,Friday,High-risk Zone,39,Notified with Confirmation
Smartwatch,"(15.62675, 80.080349)",No,Teasing,8,Unresolved,20-06-2024,14:08,Thursday,Safe Zone,29,Notified with Confirmation
Mobile,"(15.57197, 80.128145)",Yes,Assault,24,In Progress,07-07-2024,20:55,Sunday,High-risk Zone,38,Notified with Delay
Panic Button Device,"(15.560798, 80.031644)",No,Assault,23,Resolved,26-03-2024,00:46,Tuesday,High-risk Zone,34,Notified with Confirmation
Panic Button Device,"(15.522598, 80.079923)",No,Teasing,30,Resolved,16-05-2024,06:18,Thursday,Safe Zone,29,Notified with Delay
Mobile,"(15.614369, 80.115623)",No,Assault,28,In Progress,14-05-2024,13:11,Tuesday,High-risk Zone,15,Notified with Delay
Mobile,"(15.689667, 80.1397)",No,Teasing,15,Unresolved,22-10-2024,00:55,Tuesday,Moderate-risk Zone,34,Notified with Confirmation
Mobile,"(15.662071, 80.108193)",Yes,Assault,22,In Progress,19-07-2024,00:40,Friday,Moderate-risk Zone,36,Notified
Smartwatch,"(15.557031, 80.161864)",Yes,Teasing,22,In Progress,24-12-2024,17:21,Tuesday,Moderate-risk Zone,15,Notified with Delay
Mobile,"(15.688514, 80.108046)",No,Assault,19,Resolved,04-01-2024,02:40,Thursday,Safe Zone,28,Notified with Confirmation
Smartwatch,"(15.627286, 80.105608)",Yes,Teasing,29,Unresolved,27-02-2024,07:56,Tuesday,High-risk Zone,27,Notified with Confirmation
Panic Button Device,"(15.596123, 80.055102)",No,Assault,14,In Progress,06-03-2024,01:07,Wednesday,High-risk Zone,30,Notified
Smartwatch,"(15.660097, 80.043854)",No,Assault,29,In Progress,14-08-2024,21:32,Wednesday,Moderate-risk Zone,28,Notified
Panic Button Device,"(15.624517, 80.065165)",Yes,Teasing,17,Resolved,10-06-2024,18:55,Monday,High-risk Zone,39,Notified
Mobile,"(15.647075, 80.186553)",No,Teasing,17,Resolved,23-06-2024,17:39,Sunday,Moderate-risk Zone,27,Notified
Smartwatch,"(15.649568, 80.197746)",Yes,Assault,26,Resolved,25-03-2024,06:11,Monday,Safe Zone,28,Notified
Mobile,"(15.589225, 80.13902)",Yes,Assault,25,In Progress,25-03-2024,15:03,Monday,High-risk Zone,37,Notified with Confirmation
Mobile,"(15.561344, 80.139952)",No,Assault,6,Unresolved,23-03-2024,09:32,Saturday,Moderate-risk Zone,22,Notified with Delay
Panic Button Device,"(15.601558, 80.105073)",No,Teasing,8,Resolved,05-08-2024,21:09,Monday,Moderate-risk Zone,45,Notified with Confirmation
Mobile,"(15.639422, 80.151387)",Yes,Assault,9,Unresolved,17-06-2024,07:49,Monday,Moderate-risk Zone,20,Notified with Confirmation
Panic Button Device,"(15.640382, 80.173009)",Yes,Teasing,14,In Progress,14-12-2024,04:21,Saturday,High-risk Zone,30,Notified with Confirmation
Smartwatch,"(15.529958, 80.156602)",Yes,Teasing,25,In Progress,16-06-2024,11:29,Sunday,Moderate-risk Zone,17,Notified with Confirmation
